Unnamed: 0,Team,Player,Allstars,College,Play_Yrs,Games,Year,Pick,Player_ID,Season_ID,Conference,League_ID,Games_Played,Minutes,Points,O_Rebounds,D_Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Attempted,FG_Made,FT_Attempted,FT_Made,Three_Attempted,Three_Made
73.0,WSC,Bill Burke,False,St. Mary's College of Maryland,,,1947.0,73.0,,,,,,,,,,,,,,,,,,,,,
74.0,WSC,Paul Cloyd,False,University of Wisconsin,1.0,7.0,1947.0,74.0,,,,,,,,,,,,,,,,,,,,,
75.0,WSC,John Mandic,False,Oregon State University,2.0,81.0,1947.0,75.0,,,,,,,,,,,,,,,,,,,,,
76.0,WSC,Saul Mariaschin,False,Harvard University,1.0,43.0,1947.0,76.0,,,,,,,,,,,,,,,,,,,,,
77.0,WSC,Abel Rodriguez,False,University of San Francisco,,,1947.0,77.0,,,,,,,,,,,,,,,,,,,,,
78.0,WSC,Irv Rothenberg,False,Long Island University,3.0,131.0,1947.0,78.0,,,,,,,,,,,,,,,,,,,,,
79.0,WSC,Jack Tingle,False,University of Kentucky,2.0,39.0,1947.0,79.0,,,,,,,,,,,,,,,,,,,,,
80.0,WSC,Matt Zunic,False,George Washington University,1.0,56.0,1947.0,80.0,,,,,,,,,,,,,,,,,,,,,
81.0,PRO,Andy Tonkovich,False,Marshall University,1.0,17.0,1948.0,1.0,,,,,,,,,,,,,,,,,,,,,
82.0,INJ,George Kok,False,University of Arkansas,,,1948.0,2.0,,,,,,,,,,,,,,,,,,,,,
83.0,BOS,George Hauptfuhrer,False,Harvard University,,,1948.0,3.0,,,,,,,,,,,,,,,,,,,,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1950.0,East,NBA,1.0,0.0,15.0,,,14.0,3.0,,,,,10.0,7.0,2.0,1.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1961.0,East,NBA,1.0,4.0,0.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1960.0,East,NBA,1.0,27.0,21.0,,,6.0,3.0,,,,,15.0,7.0,7.0,7.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1959.0,East,NBA,1.0,27.0,19.0,,,10.0,0.0,,,,,19.0,8.0,3.0,3.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1958.0,East,NBA,1.0,22.0,13.0,,,13.0,1.0,,,,,11.0,3.0,8.0,7.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1957.0,East,NBA,1.0,39.0,18.0,,,9.0,2.0,,,,,15.0,6.0,6.0,6.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1956.0,East,NBA,1.0,25.0,9.0,,,10.0,1.0,,,,,6.0,4.0,1.0,1.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1955.0,East,NBA,1.0,25.0,14.0,,,4.0,2.0,,,,,8.0,4.0,10.0,6.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1954.0,East,NBA,1.0,29.0,15.0,,,13.0,1.0,,,,,12.0,6.0,3.0,3.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1953.0,East,NBA,1.0,24.0,6.0,,,12.0,1.0,,,,,3.0,1.0,6.0,4.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1952.0,East,NBA,1.0,26.0,8.0,,,13.0,3.0,,,,,7.0,2.0,4.0,4.0,,
84.0,NYK,Dolph Schayes,True,New York University,15.0,996.0,1948.0,4.0,schaydo01,1951.0,East,NBA,1.0,99.0,,,,,,,,,,,,,,,
85.0,CHS,Ed Mikan,False,DePaul University,6.0,323.0,1948.0,5.0,,,,,,,,,,,,,,,,,,,,,
86.0,BLB,Walt Budko,False,Columbia University,4.0,253.0,1948.0,6.0,,,,,,,,,,,,,,,,,,,,,
87.0,STB,Robert Gale,False,Cornell University,,,1948.0,7.0,,,,,,,,,,,,,,,,,,,,,
88.0,FTW,Ward Williams,False,Indiana University,1.0,53.0,1948.0,8.0,,,,,,,,,,,,,,,,,,,,,
89.0,MNL,Chuck Hanger,False,University of California,,,1948.0,9.0,,,,,,,,,,,,,,,,,,,,,
90.0,ROC,Bobby Wanzer,False,Seton Hall University,9.0,568.0,1948.0,10.0,,,,,,,,,,,,,,,,,,,,,
91.0,PHW,Don Ray,False,Western Kentucky University,1.0,61.0,1948.0,11.0,,,,,,,,,,,,,,,,,,,,,
92.0,WSC,Jack Nichols,False,University of Washington,9.0,505.0,1948.0,12.0,,,,,,,,,,,,,,,,,,,,,
1065.0,SYR,Jack Nichols,False,Colgate University,,,1957.0,74.0,,,,,,,,,,,,,,,,,,,,,
93.0,BLB,Jim Black,False,Occidental College,,,1948.0,13.0,,,,,,,,,,,,,,,,,,,,,
94.0,BLB,Darrell Brown,False,Humboldt State University,1.0,3.0,1948.0,14.0,,,,,,,,,,,,,,,,,,,,,
95.0,BLB,Robert Carroll,False,West Virginia University,,,1948.0,15.0,,,,,,,,,,,,,,,,,,,,,
96.0,BLB,Jake Carter,False,East Texas State University,1.0,24.0,1948.0,16.0,,,,,,,,,,,,,,,,,,,,,
97.0,BLB,Marvin English,False,Newberry College,,,1948.0,17.0,,,,,,,,,,,,,,,,,,,,,
98.0,BLB,Gene Fellmoth,False,Wittenberg University,,,1948.0,18.0,,,,,,,,,,,,,,,,,,,,,
99.0,BLB,J.W. Fullerton,False,Arkansas State University,,,1948.0,19.0,,,,,,,,,,,,,,,,,,,,,
100.0,BLB,Marshall Gemberling,False,Lebanon Valley College,,,1948.0,20.0,,,,,,,,,,,,,,,,,,,,,
101.0,BLB,Vince Hansen,False,Washington State University,,,1948.0,21.0,,,,,,,,,,,,,,,,,,,,,
102.0,BLB,Joe Holland,False,University of Kentucky,3.0,186.0,1948.0,22.0,,,,,,,,,,,,,,,,,,,,,
103.0,BLB,Wayne Jones,False,American International College,,,1948.0,23.0,,,,,,,,,,,,,,,,,,,,,
2930.0,DET,Wayne Jones,False,Niagara University,,,1971.0,130.0,,,,,,,,,,,,,,,,,,,,,
104.0,BLB,Dan Kraus,False,Georgetown University,1.0,13.0,1948.0,24.0,,,,,,,,,,,,,,,,,,,,,
105.0,BLB,Herb Krautblatt,False,Rider University,1.0,10.0,1948.0,25.0,,,,,,,,,,,,,,,,,,,,,
106.0,BLB,Paul Marcincin,False,Moravian College,,,1948.0,26.0,,,,,,,,,,,,,,,,,,,,,
